2026-05-09 12:49:55  INFO      orchestrator_v2 — ════════════════════════════════════════════════════════════════════════════════
2026-05-09 12:49:55  INFO      orchestrator_v2 — STEP 1/6 — Scraping IRDAI (NBP, market share, policies)...
2026-05-09 12:49:55  INFO      scrapers.irdai_scraper — Attempting IRDAI HTML scrape...
2026-05-09 12:49:56  WARNING   scrapers.irdai_scraper — IRDAI HTML scrape failed: 404 Client Error:  for url: https://irdai.gov.in/web/guest/statistical-data
2026-05-09 12:49:57  INFO      scrapers.irdai_scraper — Attempting IRDAI PDF extraction...
2026-05-09 12:49:57  INFO      scrapers.irdai_scraper — Downloading PDF: https://irdai.gov.in/documents/37343/6955817/Annual+Report+2022-23.pdf
2026-05-09 12:49:58  WARNING   scrapers.irdai_scraper — PDF extraction failed for https://irdai.gov.in/documents/37343/6955817/Annual+Report+2022-23.pdf: 404 Client Error:  for url: https://irdai.gov.in/documents/37343/6955817/Annual+Report+2022-23.pdf
2026-05-09 12:49:58  INFO      scrapers.irdai_scraper — Downloading PDF: https://irdai.gov.in/documents/37343/5419466/IRDAI_Annual_Report_2021-22.pdf
2026-05-09 12:49:58  WARNING   scrapers.irdai_scraper — PDF extraction failed for https://irdai.gov.in/documents/37343/5419466/IRDAI_Annual_Report_2021-22.pdf: 404 Client Error:  for url: https://irdai.gov.in/documents/37343/5419466/IRDAI_Annual_Report_2021-22.pdf
2026-05-09 12:49:58  WARNING   scrapers.irdai_scraper — All IRDAI live sources failed — using seed data.
2026-05-09 12:49:58  INFO      orchestrator_v2 — Raw saved → /Users/imdebarun/Documents/Debarun/GenAI_projects/antigravity_experiments/life_insurance_pipeline/LifeInsurance_MarketResearch_Agent/data/raw/irdai_20260509_124958.csv  (23 rows)
2026-05-09 12:49:58  INFO      orchestrator_v2 — IRDAI: 23 records  [source=seed_fallback]
2026-05-09 12:49:59  INFO      orchestrator_v2 — ════════════════════════════════════════════════════════════════════════════════
2026-05-09 12:49:59  INFO      orchestrator_v2 — STEP 2/6 — Scraping company websites (UPDATED URLs + v2 enhancements)...
2026-05-09 12:49:59  INFO      orchestrator_v2 —          (visiting each insurer's website for L-22 / L-32 PDFs)
