company_name,source,source_url,scraped_at,extraction_success,kpis_extracted,new_business_premium_cr,data_as_of,solvency_ratio,claim_settlement_ratio_pct,policies_issued,persistency_ratio_13m
SBI Life Insurance,company_website_live,https://www.sbilife.co.in/documents/20118/585639/SBI+Life+-+Consolidated+Unclaimed+Dividend+List+FY+2019+to+FY+2025.pdf/226dc545-febf-f4fc-a472-f80715d87a70?version=1.1&t=1774587647104,2026-05-10T20:02:20.126819,True,1,412114.0,FY2023-24 Feb,,,,
SBI Life Insurance,company_website_live,https://www.sbilife.co.in/documents/20118/585639/SBI+Life+-+Unclaimed+Dividend+List-FY+2023-24.pdf/1419c2e5-0683-afee-5d2b-482b4c14de74?version=1.1&t=1774587647104,2026-05-10T20:02:20.126841,True,1,412114.0,FY2023-24 Q4,,,,
SBI Life Insurance,company_website_live,https://www.sbilife.co.in/documents/20118/962016/Committee+Composition+w.e.f.+January+28%2C+2026.pdf/ea574f8f-6372-7920-a0ad-09890d851f94?t=1774587646558,2026-05-10T20:02:20.126847,True,0,,FY2023-24 Jan,,,,
HDFC Life Insurance,company_website_live,https://www.hdfclife.com/content/dam/hdfclifeinsurancecompany/footer/T-and-C-for-Policy-loan.pdf,2026-05-10T20:02:27.030361,True,0,,FY2023-24 Q4,,,,
ICICI Prudential Life Insurance,not_found,https://www.iciciprulife.com/about-us/investor-relations/yearly-public-disclosures.html,2026-05-10T20:02:35.517729,False,0,,FY2023-24 Q4,,,,
Axis Max Life Insurance Limited,company_website_live,https://www.axismaxlife.com/static-page/assets/homepage/assets/content/dam/neo/pdf/stewardship-code-for-max-life-insurance/max-life-insurance-quarterly-upload-Apr-June-2024.pdf,2026-05-10T20:02:43.104808,True,0,,FY2023-24 Apr,,,,
Axis Max Life Insurance Limited,company_website_live,https://www.axismaxlife.com/static-page/assets/homepage/assets/content/dam/neo/pdf/stewardship-code-for-max-life-insurance/max-life-insurance-quarterly-upload-Jan-Mar-2024.pdf,2026-05-10T20:02:43.104811,True,0,,FY2023-24 Jan,,,,
Axis Max Life Insurance Limited,company_website_live,https://www.axismaxlife.com/static-page/assets/homepage/assets/content/dam/neo/pdf/stewardship-code-for-max-life-insurance/max-life-insurance-quarterly-upload-Oct-Dec-2023.pdf,2026-05-10T20:02:43.104812,True,0,,FY2023-24 Oct,,,,
Bajaj Life Insurance Limited,company_website_live,https://www.bajajlifeinsurance.com/content/dam/balic-web/pdf/financialinformation/Distribution%20Channels%20List/List%20of%20Active%20Agents/Q1/Active-Agent-Lists-as-on-February-2026.pdf,2026-05-10T20:05:35.909243,True,0,,FY2023-24 Q1,,,,
Bajaj Life Insurance Limited,company_website_live,https://www.careratings.com/upload/CompanyFiles/PR/202503140317_Bajaj_Allianz_Life_Insurance_Company_Limited.pdf,2026-05-10T20:05:35.909248,True,2,100.0,FY2023-24 Q4,3.69,,,
Tata AIA Life Insurance,company_website_live,https://www.tataaia.com/content/dam/tataaialifeinsurancecompanylimited/pdf/public-disclosur/2025-26/quarter-1/Public-Disclosures-Q1-FY-2025-26.pdf,2026-05-10T20:05:57.931099,True,4,8.33,FY2025-26 Q1,48.0,25.0,167704.0,
Tata AIA Life Insurance,company_website_live,https://www.tataaia.com/content/dam/tataaialifeinsurancecompanylimited/pdf/Whistle-Blower-Policy-V11-1202026.pdf,2026-05-10T20:05:57.931104,True,0,,FY2023-24 Q4,,,,
Tata AIA Life Insurance,company_website_live,https://www.tataaia.com/content/dam/tataaialifeinsurancecompanylimited/footer/Nomination-Remuneration-Policy-May-2025.pdf,2026-05-10T20:05:57.931105,True,1,,FY2023-24 May,,3.0,,
Aditya Birla Sun Life Insurance,company_website_live,https://lifeinsurance.adityabirlacapital.com/uploads/Proxy_Voting_Details_of_voting_for_quarter_Q4_FY_25_ff42ba6148.pdf,2026-05-10T20:08:26.880372,True,0,,FY2023-24 Q4,,,,
Aditya Birla Sun Life Insurance,company_website_live,https://lifeinsurance.adityabirlacapital.com/uploads/Public_Disclosure_June_25_831c547f76.pdf,2026-05-10T20:08:26.880383,True,4,25.95,FY2023-24 Jun,32.0,6.0,216.0,
Aditya Birla Sun Life Insurance,company_website_live,https://lifeinsurance.adityabirlacapital.com/uploads/Public_Disclsoure_Sept_25_6059a943ac.pdf,2026-05-10T20:08:26.880385,True,5,6.65,FY2023-24 Sep,32.0,6.0,25.0,20.0
Kotak Mahindra Life Insurance,company_website_live,https://www.kotaklife.com/assets/images/uploads/why_kotak/list-of-our-gstin-registration-numbers.pdf,2026-05-10T20:08:34.267715,True,0,,FY2023-24 Q4,,,,
PNB MetLife India Insurance,company_website_live,https://www.pnbmetlife.com/content/dam/pnb-metlife/docs/financial_disclosure/Apr%20June-20%20FY%2020-21_tcm47-77654.pdf,2026-05-10T20:09:22.731331,True,2,25.0,FY2020-21 Apr,2.04,,,
PNB MetLife India Insurance,company_website_live,https://www.pnbmetlife.com/content/dam/pnb-metlife/docs/financial_disclosure/Apr_Sep_20_(FY_20-21).pdf,2026-05-10T20:09:22.731335,True,2,9.0,FY2023-24 Apr,1.97,,,
PNB MetLife India Insurance,company_website_live,https://www.pnbmetlife.com/content/dam/pnb-metlife/docs/financial_disclosure/Apr_March_21.pdf,2026-05-10T20:09:22.731336,True,2,54.79,FY2023-24 Mar,1.9,,,
Canara HSBC Life Insurance,company_website_live,https://www.canarahsbclife.com/content/dam/chli/pdf/public-disclosure/other-disclosure/stewardship-and-voting-policy/stewardship-policy-2026.pdf,2026-05-10T20:09:44.159582,True,0,,FY2023-24 Q4,,,,
Canara HSBC Life Insurance,company_website_live,https://www.canarahsbclife.com/content/dam/chli/pdf/public-disclosure/other-disclosure/quarterly-voting-report/a/voting-report-jan-mar-2026.pdf,2026-05-10T20:09:44.159585,True,0,,FY2023-24 Jan,,,,
Canara HSBC Life Insurance,company_website_live,https://www.canarahsbclife.com/content/dam/chli/pdf/public-disclosure/other-disclosure/ulip-disclosures/a/ulip-disclosure-march-2025.pdf,2026-05-10T20:09:44.159586,True,0,,FY2023-24 Mar,,,,
IndiaFirst Life Insurance,company_website_live,https://www.indiafirstlife.com/content/dam/ifliwebsite/footer-pdf/terminated-agents/terminated-for-disqualification-05-april-2026.pdf.coredownload.inline.pdf,2026-05-10T20:10:10.180743,True,0,,FY2023-24 Apr,,,,
IndiaFirst Life Insurance,company_website_live,https://www.indiafirstlife.com/content/dam/ifliwebsite/header/assistance-for-air-india-tragedy.pdf.coredownload.inline.pdf,2026-05-10T20:10:10.180749,True,0,,FY2023-24 Q4,,,,
Edelweiss Tokio Life Insurance,company_website_live,https://www.edelweisslife.in/documents/20121/3041181/ELI+Annual+Report+2024-2025.pdf/374b0b46-9cc3-bd9e-6c48-323d982ff8b3?download=true,2026-05-10T20:11:18.175211,True,4,5.13,FY2024-2025 Annual,3.0,99.29,49973.0,
Edelweiss Tokio Life Insurance,company_website_live,https://www.edelweisslife.in/documents/20121/1580895/ELI-Annual-Report-2023-2024.pdf/8e2355e4-d7b0-3ad9-aa6b-cf84b73d95fb?download=true,2026-05-10T20:11:18.175223,True,4,578.4,FY2023-2024 Annual,3.0,77.6,58361.0,
Edelweiss Tokio Life Insurance,company_website_live,https://www.edelweisslife.in/documents/20121/63564/ETLI+Annual+Report+2022-23.pdf/9e5b29bb-39e5-d734-17ae-f94636d71ece?download=true,2026-05-10T20:11:18.175228,True,4,13.0,FY2022-23 Annual,3.0,99.2,56596.0,
Generali Central Life Insurance Company Limited,company_website_live,https://www.generalicentrallife.com/img/cwprod/List_of_Individual_Agents_as_on_30_04_26_3a0cc62e46.pdf,2026-05-10T20:11:32.399974,True,0,,FY2023-24 Q4,,,,
Pramerica Life Insurance,company_website_live,https://pramericalife.in//admin/assets/pdf/pdfST/1776399596-E-Voting - Q4 FY 2025-2026.pdf,2026-05-10T20:11:39.052924,True,0,,FY2025-2026 Q4,,,,
Pramerica Life Insurance,company_website_live,https://pramericalife.in//admin/assets/pdf/pdfST/1746601145-E-Voting - Q4 FY 2024-2025.pdf,2026-05-10T20:11:39.052928,True,0,,FY2024-2025 Q4,,,,
Pramerica Life Insurance,company_website_live,https://pramericalife.in//admin/assets/pdf/pdfST/1746601104-E-Voting - Q3 FY 2024-2025.pdf,2026-05-10T20:11:39.052930,True,0,,FY2024-2025 Q3,,,,
Shriram Life Insurance,company_website_live,https://cdn.shriramlife.com/slic-kalam/files/2024-01/SLIC_Handy_Service_Manual.pdf,2026-05-10T20:11:49.897031,True,0,,FY2024-01 Q4,,,,
Bharti Life Insurance Company Limited,company_website_live,https://www.bhartiaxa.com/sites/default/files/2026-04/corporate-agent-list-march-2026.pdf,2026-05-10T20:11:57.584421,True,0,,FY2026-04 Mar,,,,
Bharti Life Insurance Company Limited,company_website_live,https://www.bhartiaxa.com/sites/default/files/2025-07/policy-for-protection-of-interests-of-policyholders_V13.pdf,2026-05-10T20:11:57.584425,True,1,,FY2025-07 Q4,,,13.0,
Bharti Life Insurance Company Limited,company_website_live,https://www.bhartiaxa.com/sites/default/files/pdf/Bharti-AXA-Life-Insurance-Fraud-contol-policy-February-2022.pdf,2026-05-10T20:11:57.584426,True,0,,FY2023-24 Feb,,,,
IndusInd Nippon Life Insurance Company Limited,company_website_live,https://www.indusindnipponlife.com/documents/34625/300934/130760522026209974.pdf,2026-05-10T20:13:32.316267,True,0,,FY2023-24 Q4,,,,
IndusInd Nippon Life Insurance Company Limited,company_website_live,https://www.indusindnipponlife.com/documents/34625/34750/Active+Agent+List+as+on+30th+April-2026.pdf,2026-05-10T20:13:32.316278,True,0,,FY2023-24 Apr,,,,
Aviva Life Insurance,company_website_live,https://www.avivaindia.com/sites/default/files/ombudsaman-list-april-2026.pdf,2026-05-10T20:13:44.087756,True,0,,FY2023-24 Apr,,,,
Aviva Life Insurance,company_website_live,https://www.avivaindia.com/sites/default/files/Grievance-Redressal-policy-2025v1.pdf,2026-05-10T20:13:44.087760,True,0,,FY2023-24 Q4,,,,
Aviva Life Insurance,company_website_live,https://www.avivaindia.com/sites/default/files/gro-list-may-26.pdf,2026-05-10T20:13:44.087761,True,0,,FY2023-24 May,,,,
