company_name,source,source_url,company_type,headquarters,founded_year
HDFC Life Insurance Co. Ltd.,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,2000.0
Axis Max Life Insurance Co. Ltd.,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Delhi,2000.0
ICICI Prudential Life Insurance Co. Ltd.,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,2000.0
Kotak Life Insurance Co. Ltd.,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,2001.0
Aditya Birla Sun Life Insurance Co. Ltd.,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,2000.0
TATA AIA Life Insurance Co. Ltd.,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,2001.0
SBI Life Insurance Co. Ltd.,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Public,Mumbai,2001.0
Bajaj Allianz Life Insurance Co. Ltd.,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Pune,2001.0
PNB MetLife India Insurance Co. Ltd.,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,2001.0
Reliance Nippon Life Insurance Company,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,2001.0
Aviva Life Insurance Company India Ltd.,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Gurugram,2002.0
Sahara India Life Insurance Co. Ltd.,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Lucknow,2004.0
Shriram Life Insurance Co. Ltd.,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Hyderabad,2005.0
Bharti AXA Life Insurance Co. Ltd.,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,2008.0
